"","idGame","slugTeam","namePlayer","groupStartPosition","isStarter","idTeam","idPlayer","fgm","fga","pctFG","fg3m","fg3a","pctFG3","pctFT","fg2m","fg2a","pctFG2","cityTeam","teamName","minExact","ftm","fta","oreb","dreb","treb","ast","stl","blk","tov","pf","pts","plusminus"
"25",22000603,"MIL","Pat Connaughton",NA,FALSE,1610612749,1626192,1,2,0.5,0,0,0,0,1,2,0.5,"Milwaukee","Pat",29.6333333333333,0,0,0,1,1,0,0,0,1,2,2,-10
"26",22000603,"MIL","Bobby Portis",NA,FALSE,1610612749,1626171,6,9,0.667,1,2,0.5,0,5,7,0.714285714285714,"Milwaukee","Bobby",15.7,0,0,1,3,4,1,0,0,2,1,13,-7
"27",22000603,"MIL","D.J. Augustin",NA,FALSE,1610612749,201571,2,4,0.5,1,3,0.333333333333333,0,1,1,1,"Milwaukee","D.J.",13.4166666666667,0,0,0,1,1,3,0,0,1,4,5,-2
"28",22000603,"MIL","Bryn Forbes",NA,FALSE,1610612749,1627854,3,4,0.75,2,2,1,0.667,1,2,0.5,"Milwaukee","Bryn",13.45,2,3,0,0,0,0,0,0,1,0,10,-2
"29",22000603,"WAS","Garrison Mathews","F",TRUE,1610612764,1629726,1,4,0.25,1,3,0.333333333333333,1,0,1,0,"Washington","Garrison",20.4,3,3,0,2,2,0,0,0,0,1,6,-19
"30",22000603,"WAS","Rui Hachimura","F",TRUE,1610612764,1629060,9,18,0.5,4,9,0.444444444444444,0,5,9,0.555555555555556,"Washington","Rui",36.7666666666667,0,0,0,7,7,5,1,0,2,2,22,-7
"31",22000603,"WAS","Alex Len","C",TRUE,1610612764,203458,1,4,0.25,0,0,0,0.25,1,4,0.25,"Washington","Alex",17.8166666666667,1,4,0,2,2,2,0,0,0,2,3,-16
"32",22000603,"WAS","Bradley Beal","G",TRUE,1610612764,203078,13,19,0.684,4,7,0.571428571428571,1,9,12,0.75,"Washington","Bradley",41.75,7,7,0,6,6,5,1,0,3,4,37,-4
"33",22000603,"WAS","Russell Westbrook","G",TRUE,1610612764,201566,8,19,0.421,3,6,0.5,0.667,5,13,0.384615384615385,"Washington","Russell",38.5833333333333,4,6,2,3,5,17,1,1,5,2,23,-20
"34",22000603,"WAS","Deni Avdija",NA,FALSE,1610612764,1630166,5,9,0.556,1,4,0.25,0,4,5,0.8,"Washington","Deni",31.3166666666667,0,0,0,6,6,2,0,0,1,3,11,8
"35",22000603,"WAS","Raul Neto",NA,FALSE,1610612764,203526,2,6,0.333,0,3,0,1,2,3,0.666666666666667,"Washington","Raul",19.8666666666667,2,2,0,1,1,1,1,0,2,2,6,3
"36",22000603,"WAS","Davis Bertans",NA,FALSE,1610612764,202722,3,5,0.6,3,5,0.6,0,0,0,0,"Washington","Davis",23.5833333333333,0,0,0,2,2,0,1,0,1,2,9,3
"37",22000603,"WAS","Robin Lopez",NA,FALSE,1610612764,201577,2,2,1,0,0,0,0.5,2,2,1,"Washington","Robin",8.76666666666667,1,2,0,2,2,1,0,0,0,0,5,-4
"38",22000603,"WAS","Cassius Winston",NA,FALSE,1610612764,1630216,0,1,0,0,1,0,0,0,0,0,"Washington","Cassius",1.16666666666667,0,0,0,0,0,1,0,0,0,0,0,1
"39",22000604,"NYK","Reggie Bullock","F",TRUE,1610612752,203493,7,12,0.583,5,10,0.5,0,2,2,1,"New York","Reggie",42.3666666666667,0,0,1,5,6,1,1,0,1,4,19,1
"40",22000604,"NYK","Julius Randle","F",TRUE,1610612752,203944,13,27,0.481,3,6,0.5,0.667,10,21,0.476190476190476,"New York","Julius",41.2,4,6,5,7,12,6,3,0,5,2,33,2
"41",22000604,"NYK","Nerlens Noel","C",TRUE,1610612752,203457,0,0,0,0,0,0,0,0,0,0,"New York","Nerlens",19.9833333333333,0,0,2,3,5,2,1,1,0,1,0,-2
"42",22000604,"NYK","RJ Barrett","G",TRUE,1610612752,1629628,6,14,0.429,1,3,0.333333333333333,1,5,11,0.454545454545455,"New York","RJ",35.1666666666667,10,10,0,6,6,4,1,1,1,2,23,-5
"43",22000604,"NYK","Immanuel Quickley","G",TRUE,1610612752,1630193,6,19,0.316,4,12,0.333333333333333,0.714,2,7,0.285714285714286,"New York","Immanuel",33.5666666666667,5,7,1,1,2,2,0,0,0,3,21,-9
"44",22000604,"NYK","Taj Gibson",NA,FALSE,1610612752,201959,2,3,0.667,0,0,0,0,2,3,0.666666666666667,"New York","Taj",23.5333333333333,0,0,1,3,4,0,0,0,1,1,4,-2
"45",22000604,"NYK","Alec Burks",NA,FALSE,1610612752,202692,3,10,0.3,2,6,0.333333333333333,1,1,4,0.25,"New York","Alec",24.2833333333333,4,4,1,0,1,0,2,0,0,2,12,-3
"46",22000604,"NYK","Frank Ntilikina",NA,FALSE,1610612752,1628373,0,5,0,0,4,0,0,0,1,0,"New York","Frank",16.1833333333333,0,0,1,2,3,1,1,0,0,6,0,5
